Content,Score
Mantap,5
Sempurna,5
Nice,5
"Keep it simple, jgn muluk2 kyk medsos lain. Pusying hamba",4
Nyoba aja,4
Aku cuman download ini demi haechan!,5
Masih perlu banyak perbaikan. Unggah foto lama banget dan lemot padahal sinyal bagus.,1
Tidak dapat mengunggah foto. Ketika mengimpor photo dari galeri dalam proses tiba-tiba force close,2
Dimohon utk menambahkan translate \U0001f601 sekian terima kasih.\U0001f64f,4
Banyak Bug pada aplikasi,1
So far so good,5
Masih banyak bug ya,1
Kasih terjemahan lah,4
Apk nya mantul,5
gak jelas perbaiki lagi mark,1
Kecewa dengan aplikasi ini \U0001f614\U0001f614,1
Elon musk,1
masih awal rilis jadi oke oke aja kalau masih banyak bug nya,5
"Kalau ini apk bisa ngehasilin duit dan banyak spender, gue instal lagi, soalnya menuh""in memori doang.",1
Aplikasi lol Akun ig gue kebajak gara gara ini !,5
Better than Twitter,5
Thread saya buram ya,5
"Tolong hilangkan fitur balasan yang dimana follower atau orang\xb2 dapat melihat balasan kita di postingan orang lain! Gara-gara fitur ini, teman saya jadi membenci saya hanya karena saya ngobrol baik-baik sama musuh teman saya \U0001f62d\U0001f480 Atau tolong diganti saja ke ""tandai (tags)"" yang dimana postingan yang menandai pemakai dapat dilihat disana \U0001f614\U0001f64f",2
"aku berfikir bahwa aplikasi ini sudah bagus, tapi tolong berikan fitur translate nya",4
Tidak ada fitur terjemahannya,4
Cukup bagus \U0001f44d\U0001f44d\U0001f44d,5
ada bug klo sistem hp bawaan dark,1
Ayo bang mark upgrade time atau pending kita lihat,5
\U0001f44d,5
Nyoba app ini pingin tahu seberapa exsaited fungsinya,5
wadehel bagus banhat coeg,5
"bagus, tpi minus fitur translate. Kalo bisa tambahin, terima kasih",3
"Kalo fiturnya sudah lengkap, saya kasih bintang 5 cuma-cuma.",1
menurut ku apk bagus walau rada takut sama info yg beredar tapi demi bias aku akan bertahan tolong tambahkan untuk menyimpan ft dan terjemahan \U0001f64f,5
Please fix bug that when using dark mode the UI scewed,4
good,5
tolong update selanjutnya adakan fitur untuk mengunduh gambar/foto dan video,5
Mantap,5
Bagus juga tampilan uinya fresh,3
"If only there was a translation, this might be the best application at this time",3
Mark Zuckerberg pekok,1
Bagus tapi masih banyak bug,3
Please provide the dark mode feature,3
abis download ini malah gabisa buka ig,1
"Don't forget to provide a translation in Indonesian, and don't forget the photo saving feature to the gallery or video\U0001f60a",4
Terdapat bug setelah di instal yaitu tidak bisa di buka,3
"bagusss sihhh... cuma ya kan gini nih Kan saya abis login tuh dari trheads setelah itu saya ke profil ig kan trus ada kek ""@988053"" Gitu di bio ig, jadi saya memencet ""@977053"" dan tidak sengaja memencet mensenyapkan/menghilangkan, cara mengembalikan nya gimana guys yesel abis memencet itu \U0001f62d\U0001f64f\U0001f3fb",3
Bagus Saya Suka Sekali Aplikasi Threads ini,5
ok,1
"Bug nya banyak banget, ketika di swipe tulisannya numpuk\xb2 ga bisa baca tulisan sama sekali",1
Tolong adakan translate,4
Ngapus treads doang malah akun instagramnya d nonaktifkan slamanya\U0001f611,1
Masih ada bug nya.,3
Bug parah. Tampilan bayang2..,1
"Kukasi ki bintang 4 dulu kanda krn di beranda biar yg tdk di follow tampilki postingannya. Dan yg paling penting semoga bisaki filter yg posting konten\xb2 18+, jngn sampai kayak aplikasi burung biru di' hehe massukku kusuka tonji saya tapi tabe' sebelumnya kanda bukan apanya kah jan sampe banyak yg beralih kesini na nanti samaji yg di sajikan di aplikasi burung biru",4
buggg bgt plis,1
Ok,5
"Masih banyak bug,tapi gw yakin aplikasi ini bisa kaya Twitter sama Instagram",3
"Login threads malah logout ig, login ig malah logout threads. Benerin nih",2
Semoga Didelete kominfo,1
Apk rusakkk marai ig ku eror asuuu,1
Keren lebih bagus dari Twitternya,4
Mantap threads,5
Tambahkan fitur tranlsate,5
akunnn gwww ilanggg,1
"jelek bgt aplikasinya, ngebug bgt padahal baru download",1
good,5
butut anj,1
Masih bagusan Twitter ada bokepnya,1
Upload video tapi suara g muncul,1
Bagus apknya,5
tolong tambahkan fitur simpan foto dengan resolusi yang lumayan. jika ini ada di update selanjutnya reflek bintang 5,3
Baguss Banget \U0001f44d,5
Nothing special,1
Excuse me madam or sir I have a little problem with this application please sir or madam to handle the hide id threads feature I accidentally pressed the hide button I beg you how to restore it \U0001f62d,1
"gjls anying apknya, akun gua jdi ke logout sendiri gara' ni apk",1
Jelek,5
Bekerja keras .tidur . Nikmati,5
1. Lebih baik threads yg dimunculkan pada halaman beranda/home itu thread dari akun yg kita follow saja. 2. Jangan pernah menambahkan trending hashtag karena saya lihat yg di twitter itu isi dari hashtagnya kebanyakan sampah.,4
"BUG, halaman ketumpuk",1
Aplikasinya bagus tapi nggak ada fitur,5
aplikasi nya lumayan bagus tp tolong ditingkatkan yaa agar semua orang nyaman menggunakan nya semangat Developer,2
Yuk tingkat kah apliynya:))),5
bad experience a lot bug,1
buruk,1
"blm ada fitur translate, crop, trs save, kalau bisa cari cara agar kalau mau hps akun threads akun ig juga tdk ikut terhapus permanen, karna saya login menggunakan 2 akun ig mau hps salah satunya di akun threads tdk bisa \U0001f64f\U0001f3fb",2
"Why i can't post a photo in threads, i try for many times",3
"kenapa ya di android 9 ga support, bug ketika di buka, campur semua tulisa, tolong di perbaiki lagi",1
Bug tulisannya dobel gak bisa digunakan,1
"Aplikasi baru liris, masih ada banyak bug dan kendala server seperti buffering homepage yang terlalu lama padahal sudah clear data cache dan jaringan stabil, saat mau searching hanya muncul tampilan akun saja tidak ada postingan apapun selain akun orang, memang aplikasi ini mirip Twitter tapi fiturnya masih kurang drastis sebenarnya tidak masalah asalkan tidak ada batasan atau close server.",4
aplikasi mantap,5
simply works,5
"Saran, tidak usah buat aplikasi baru, cukup dengan instagram dan kembangkan lagi dengan fitur fitur terbaik... Tunjukan karya terbaik kamu sampai dunia terkagum kagum dengan kamu..",5
Ko g bisa buat login?,2
Weee kenapa semenjak make ini Instagram malah ngebug????? Tiba2 keluar gtu aj??,2
Lagi upload foto terus tiba tiba keluar sendiri gatau ke Napa bug Mulu udah di coba beberapa kali tetep sama gak bisa kirim foto itu,3
"bagus sih, cuma pas join threads ig jadi gabisa dibuka. tolong bgt ini mh ya, cepet benerin soalnya kesel bgt gabisa bisa buka ig",2
"Aplikasinya sangat membantu saya untuk mencari referensi berita\xb2 terkini,bagus bngt saya suka trimaksihh",5
ig gue jadi error njay,1
"Sesat anjir, gara-gara nih aplikasi Ig gw nge carsh Mulu",1
"I just downloaded this application and a bug occurred on my cellphone, when I was scrolling it and what happened was my screen was like a broken LCD even though it wasn't at all",1
Please instagram. please update. I accidentally deleted my threads number in my Instagram bio and i cant take it back. please change it so it can take it back again,1
"Kenapa aku harus beri bintang 1? Aku tarik kembali kata2 aku semula... THREADS PLAGIAT SAMA TWITTER \U0001f621\U0001f92c Sudah saya laporkan sebagai ga pantas karena sebagian besar mengalami kehilangan akun bahkan di suspend akun tanpa alasan, mesti ni gara2 apk Threads \U0001f44e\U0001f44e\U0001f44e lebih baiknya pake Twitter, asli ga pake suspend akun\U0001f44e",1
ini berbayarkah? kok unduh gak bisa trus,1
Kerja bagus,5
Good. Pasti kedepannya bakalan lebih baik dan lebih banyak fitur.,5
"DOWNLOAD GARA"" HAECHANKUU SAYANGGG <3",5
Bagussssss,5
Gw make karna Jaemin bikin akun\U0001f62d\U0001f62d\U0001f932\U0001f3fb,5
"Saya cuma mengkritik 1 hal, yaitu tolong diperbaiki lagi aplikasi ini, terutama bagian ""simpan"".. minimal bisa simpan foto postingan lah\U0001f64f\U0001f3fc\U0001f64f\U0001f3fc\U0001f64f\U0001f3fc",1
Tolonglah balasan komentar kito di hilang di profil atau sembunyikan privasi soalnya,4
error kenapa nihh tolng lahh susah kalii,1
That's great but can you provide a translate feature? And can you display the only followed and not mixed? Thank You.,4
Kerennn,5
Saingan dengan Twitter? Mana bisa. Threads hanya isi sampah cuitan centang biru. Saya tidak ingin sampah itu ada di timelineku.,1
hapusin limitnya nnti ak ksih bintang lima,2
Hari pertama pake apk ini jam 19:14,5
Lencana threadsnya buset kaga bisa ilang nyesel dah gua daftar:(,1
Can you translate everyone's posts into all languages? I think it will be very helpful \U0001f60a,1
Suka Heng,3
All in mark,5
really please. please provide the translate feature and the photo save feature.,3
Buka langsung error. Gk bisa buat nyekrol. Gk bisa digunakan sih lebih tepatnya,1
Tidak ada translate,4
Klo hpnya mungkin biasa sama goto.g bisa yak smoga lebih di upgrade,2
"Tolong di perbaiki pas share status di feed instagram, tiba-tiba post feed instagram saya salah satu hilang, perbaikan lagi fiturnya biar lebih pro ada kirim pesan, notif pertemanan follback nya dan live siaran, terimakasih",4
"oke sih menurutku. buat yang suka posting yang berbau f0rn09r4f1 lebih baik jangan. karena aturan disini sangat ketat. jangankan posting yang berbau f0rn09r4f1. kau spam follow, komentar, like udah langsung banned. contohnya aku. aku spam follow langsung ke banned.",5
Minimal jangan plekketiplek,1
Mantab,5
"apk nya udah bagus banget, tapi tolong adakan fitur translate otomatis sama save foto ya terimakasih",5
Lumayan bagus. Semoga punya fitur story kayak instagram,5
"Wadaw kren Bagus aja sih cuman masih ada bug sama kudu di tambahin hal lain, ya wajar lah orang apk baru rilis/lahir \U0001f642",2
unfair. this app applies privileges to accounts that already have a blue tick on Instagram.,1
"banyak minusnya plerrrrrrr, notif telat + error mlu ajgggg",1
"semenjak download threads, IG gue tambah eror cuyy. gapake ini aja ada bugnya, malah ditambahin. ckckck, perbaikin dulu bugnya baru bikin aplikasi baru",1
monyet loe threads. akunku kehack gara\xb2 download aplikasi enih. MOGA ELON BENERAN GUGAT LOE ANJINK. ak sangat amat gak rela. bintang \U0001f31f.,1
Kok di scroll tulisannya membayang ya? Sedangkan instagram fb Google YT lancar2 aja. Tolong diperbaiki,2
"apk rusak ,",1
Kurang efektif,2
Bagus,5
Copy company,1
OK..,5
tolong banget ini mah adain fitur translate smaa save fto\U0001f62d\U0001f64f\U0001f64f,3
"tolong jangan ada limit, masa saya gabisa buka siapa yang saya ikuti sampe IG nya jg kek gitu gabisa liat siapa yang saya ikuti. Terimakasih.",1
Minta tolong dong di kasih fitur untuk mengembalikan lencana di instagram yang terlanjur terhapus,3
Bisa mungkin di tambahin fitur translate \U0001f44d\U0001f3fb,3
"Lumayann sihh, harusnya ada fitur translet nya biar tidak ada kendala dalam berkomunikasi dengan artis atau idol luar negeri...",3
Nicee,5
Tolong bgt adain terjemahan dan bisa save foto/vidio,3
Gak bisa buat upload \U0001f62d,1
Aplikasi nya mohon di tingkatan dengan fitur translate,5
"Apk taekk, tolol, ga berguna",1
Elon musk payah. Mark Zuckerberg keren \U0001f60e\U0001f525,5
Tolong kasih subtitle dongg biar tau apa yang mereka bicarain\U0001f97a,4
"akun ig aku kena hack, mana nggak bisa balik lagi",1
"too much bug, akun ig yang terhubung sm threads jadi gabisa dibuka, terpaksa ngakalin pake ig lite. please, fix the bug immediately/!",1
Bug saat upload foto dan video bersamaan,1
Ya ga guna,1
kasih translate dong trus kalo ada postingan foto dibuat kek apk sebelah bisa di download kan keren,3
"Udh bagus cuma,nggk bisa postingan privasi privat gitu",3
ngebug bang gabisa digeser,1
IG FIRST GUE JDI GABISA DIBUKA ANJENG,1
"apk gajelas,instagram org banyak hilang gara' apk inii,",2
Bugnya cukup parah.. belum bisa kupakai jadinya.,2
Saingannya twitter nih\U0001f923,5
Ngebug parah bangettttttt,1
"Satu masukan, kayaknya butuh segera dibuat fitur beranda khusus yang kita ikuti aja deh semacam ig. Biar lebih nyaman scrolling karena yang sekarang ini rancu banget random orang-orangnya, random yang serandom itu jadi bikin agak males...",3
Download yakiniku orang brkurang itu langsung dterong instagram melsenkan seluruh\U0001f605 tapikan hrus brahmana instan ukur\U0001f643 rumah tanpamu jam kota tersebut glek\U0001f9d0,1
masa gabisa di download juga eror please di perbaiki,1
akun gua hilang ppq,1
"Emmm fungsi threads buat apa sih,tapi bagus bangeddd",5
Apk nya bagus cuma butuh translate mohon kepada developer buat adain translate \U0001f441\ufe0f\U0001f444\U0001f441\ufe0f\U0001f64f\U0001f3fb,5
Gw ksh bintang 5 karna oshi gw pada main ini\U0001f5ff,5
"Aplikasi nya bagus, tapi tidak ada terjemahan nya. kalau boleh, terjemahan nya di buat. makasih",3
"bintang satu soalnya menyaingi aplikasi nya elon musk, aku fans elon musk\U0001f621\U0001f621",1
Mantap mark,5
"Fiturnya gak lengkap, gak ada translate",1
Emg boleh se chindo ini?,5
Aplikasi nya bagus. Cuma 1 yg kurang. Tolong kasih fitur translate dong,3
"jelek bgt, di scroll malah ngebug",1
Banyak amat buggnya,1
Mntap,5
"APLIKASI NYA UDAH BAGUS BANGETTTT, tapi tolong adain translate nya dongg\U0001f613\U0001f613",5
Entah akun Ku atau aplinya... Tapi aku gak bisa upload foto di apli ini..,3
waktu saya pengen posting video durasi gak nyampe 3 menit selalu gagal posting pdahal internet saya lancar lancar,3
"gimana cara ngilangin akun threads yang udah ke hubung di ig, gak enak cok.",1
Gokkl,5
Aku yang donwload ini gara\xb2haechan nct\u263a,5
"Apk nya bagus , Tapi gak ada fitur translate nya Please Add the translate feature",4
diluar otak senku,1
Threads > twitter,5
"Masih banyak kekurangan, masuk aja susah...mungkin krn harus menyingkronkan data..ini yg ku gak suka, krn maunya bedalah teman2 kita, spt di twitter...bisa anonim",3
bagus,5
"Bagus banget app nya, tapi kurang fitur translate, saya sampai bolak balik google buat nerjemahin bahasa bahasa bujang ensiti",5
"tolong segera beri fitur menyimpan gambar, fitur translate, fitur trends for you (#) segera\U0001f979\U0001f979",3
kalo bisa ada translate nya terimakasih \U0001f490,2
gw kira ketika didonlot jadi apilkasi sistem dan masuk ke ig tapi ternyata malah nongol di bilah aplikasi jadi malas auto del,2
kenapa aku tidak bisa mengupload foto? aplikasinya keluar sendiri dan kucoba lagi tetap sama.,3
Gara\xb2 ini ke hack akun ku,1
baru instal udah bug,1
masih ada bug tolong cepat dibenerin ya,3
"Males isinya orang yg gk difollow jadi gak jelas, mana lagi orang orangnya pada centang biru yg muncul terusss. Masa kudu di hide semua",1
kasih fitur translate dong,5
"Bagus. Cuma sepertinya postingan yg sudah dipost tdk bisa edit yaa? Jd harus hapus postingan kita dulu baru upload lagi (iya gk si? Atau aku yg masih kagok sm aplikasi ini *wkwk) Juga butuh translate utk postingan yg menggunakan bahasa mereka. Biar orang asing bisa paham apa yang ditulis (gk nemu jg yg 1 ini, atau mungkin belum kenal betul fitur\xb2nya \U0001f601)",5
"aplikasi stres udah diilangin lencananya masi aja muncul, jelek jelekin bio gue aja.",1
butuh translate nya threads,5
Nicee,5
i installed this app because mark also installed this app,5
The application is very good but can this application add the translate and save photo feature I really need it please add the translate and save photo feature the rest is great. Thank You \U0001f60a,5
bug parah,1
mantap jawa,5
Ok,3
idk,5
Norma iya,5
"Banyak bug nya, suka keluar2 sendiri, terus teksnya numpuk dan kayak error gituuuu:((((",2
"tai lahh, sebenarnya w org yang setia sama twt tapi gara gara mark lee main jga ya gas toh. tiga aja yh bintang nya ini install karena kepaksa kok",3
Oke aplikasi nya bagus mudah di gunakan cuma saya gak suka logo aplikasinya awokawok,5
"3 dulu,apknya bagus,tpi msih byk fitur yang kurang",3
Demi haechan gw donload,4
Keren \U0001f44d\U0001f3fb,4
Sayang belum ada fitur melihat threads yang di\u2665\ufe0f,2
Bug nya gila banyak poll dri awal masuk gegara bug sampe gabisa baca tulisan,2
Tiap mau upload foto selalu keluar sendiriiii stress bgt lohhhhhh\U0001f62d\U0001f62d\U0001f62d\U0001f62d\U0001f62d,2
Bisa menambah wawasan,2
"Bagus, tapi bug nya terlalu membuat kesal!! Saat masuk memang biasa, tetapi jika di scroll ke bawah katanya malah banyak dan jadi ngeleg",3
elon ketar ketir\U0001f618,4
menurut gue ini keren banget angjayyyyy,5
Tidak bisa menganti akun,1
"i need translation so i can read posts from outsiders or others, please publish all language translations in this threads app soon, hope you can see this!!!\U0001f497\U0001f929\U0001f618",4
Gara-gara ni aplikasi ig jadi eror,1
Musnahkan elon musk,5
"We hope that this application will become a more positive application, we hope that this application can filter out bad information, such as pornographic information and others",3
tolong cepet buat vitur translate dongggg,4
Bug,1
Burik,1
"Kalau ngasih centang biru di ig w, w kasih bintang 5\U0001f92d\U0001f92d\U0001f92d\U0001f92d\U0001f92d\U0001f92d\U0001f92d",1
"sebenernya gue download ini cuma pengen caper ke Haechan Nct hehehehehhehhhehehehehehe, CANDAAAA",5
"Tolong tingkatkan lagi dong, mau upload foto HD nggak bisa sedih bangett \u3160\u3160 nanti kalau udah bisa bintangnya aku tambah",3
"apk nya bagus sih, tapi masih kurang kayak gak ada translate, terus tl juga masih berantakan yang gak mutualan lewat tl mulu kesel. terus kenapa akun ig gue jadi gak bisa dibuka, balik lagi balik lagi nangissss",3
"Lumayan si, tapi ga ada fitur translate ama dark modenya\U0001f622, suka error juga",3
"Gara2 lu IG gue jadi bermasalah, tanggungjawab woy\U0001f64f\U0001f3fb",1
Gue download ginian cuma karena mark lee doang,4
\U0001f601,5
Please give the translation feature,3
hmzz tolong kasih translate dong,3
Di hp saya bug ga bisa upload foto,2
"Baru download eh pas lihat postingan di akun Instagram banyak yang hilang, itu kenapa bisa begitu coba? Seseorang jelaskan pada saya, demi apa? Nyesel banget pake ini kalau emang postingan ngga bisa balik lagi, (emot nangis)",1
Aplikasi ini bagus sangat sempurna tetapi masih ada bug bug yang sering terjadi menganggu kenyamanan kami sebagai user.,5
Mantull...,5
"Kenapa di beranda random bgt si isinya, orang\xb2 yg gak saya follow kok muncul terus?",2
Tambahin sistem terjemahannya,4
Mendingan Twitter,2
"Not bad,but not good",4
"masih baru, banyak hal yang belum lengkap/ada",4
"Aplikasi nya udh bagus tapi ada beberapa fitur yang ditambahkan, seperti fitur untuk save foto, futur translate, dan fitur agar dapat membuat lebih dari satu akun. Menurut saya fitur ini harus ada, jika nanti sudah ada fitur-fitur tersebut baru nanti dikasih bintang lima",4
\U0001f600,5
"Tolong dong threads ada fitur translate,,,ini anak nct udh buat akun ntar susah kalo pake hangul",3
Gw dukung mark,5
Aplikasi keren yg sangat membantu branding. Terimakasih. Semoga sukses selalu.,5
"Maaf aku kasih bintang 3 dlu,tolong threads buat fitur translate,kita yang download buat bujang\xb2 kpop kita,tidak mengerti bahasanya,tolong yaa threads Adain fitur terjemahan , terimakasih",3
ngebug,3
Saran aku sih kasih translate soalnya susah juga kalo ayang ku update tp ngak ngerti artinya \U0001f62d,4
"Apa karena tersambung , akun Instagram saya tidak dapat dibuka (forceclose) ??? tolong dong ini mana first acc lagi",2
Aq kasih 4 dulu y ABG Mark Soalnya fitur belum lengkap Tp sejauh ini appnya simpel,4
"Masih blm ada fitur terjemahan, dan lencana threads di ig harus bisa diatur",3
"Gara gara instagram membuat aplikasi threads, ketika saya log in thread malah force close. Tolong Instagram diperbaiki, jangan membuat aplikasi sampah!",1
Apk sampah,1
gak bisa di hapus akun thresds kecuali aku instragramnya di hapus,1
Good,5
Good kembang kan lagi.,4
katanya aplikasi threads ini bahaya yaa???\U0001f601,3
"Abis download treads,IG jadi eror dan gak bisa dibuka Gimana ini ???",2
Ok,5
Good,5
Akun ig jdi ke logout sendiri setelah pake threads,3
"Saya mendapatkan bug, tidak bisa membahagiakan status saya ke story ataupun yang lainnya",2
Tambah mode gelap \U0001f602,3
Aplikasi artis,3
"This is great, BUT PLEASE PROVIDE A TRANSLATE",3
"Nggak terlalu mirip sama si burung. Aku butuh fitur semacam translate, tagar, pokoknya yang persis si burung. Selain itu kayanya udah oke. Oh iya, tolong tambahin fitur edit dong pas nge threads. Biar kalau ada typo or something bisa diperbaiki. Mungkin kalau terlalu mirip bakal di cap plagiarisme ya? Idk but aku bener bener butuh fitur yang kusebutin diatas. Resolusi pas ngunggah foto juga tolong diperbaiki. Tq",3
Good,5
belum bisa translate bahasa...,3
"Baru sejam, tiba2 di ig ada org login di tempat yg beda, langsung ganti pw wkwk",1
Bagus bangett tapi sayangnya ga ada topic trending gituu terus kalo kita search pasti yang muncul akun akun doang ga ada kek postingan orang lain,4
Keren,5
musuhnya si burung\U0001f602,5
"Aplikasinya bagus sekali, bisa ngetik 5000 Character",5
Download ini karena Haechan Sama Jaemin NCT make \U0001f602\U0001f602\U0001f602,5
Kek nya masih awal\xb2 soalnya setiap mau upload foto keluar\xb2 mulu kesel guaa.... Gak kaya yang lain pada bisa kenapa yaa kasih solusi dong minnn....,2
Ada bug 1. Keluar aplikasi terus logout bebarengan dengan IG 2. Tiba tiba force close Saran 1. Tolong ada fitur translate 2.simpan foto dan video,1
"Sebenernya aplikasi sudah bagus, tapi kenapa setelah itu akun Instagram saya tidak bisa dibuka, setiap buka aplikasi Instagram keluar sendiri, mohon untuk segera dibenarkan bug ini, terimakasih",3
Tambahkan fitur translate,3
bgus tp kurang lengkap soalnya gda translate nya\U0001f635\u200d\U0001f4ab,3
"gara"" ni aplikasi ig syulit dibuka",2
Sangat bagus,5
Its very good application,5
This is better then twitter,5
"Lumayan bagus, mohon ditambahkan fitur: 1. Notifikasi followers tidak digabung 2. Bisa lihat following yang tidak followback 3. Schedule posting 4. Jumlah likes di profil seperti aplikasi TT 5. Search keyword untuk posting / trending",3
Aplikasi apa sih pas bukak aplikasi langsung getar getar kek ngebug anjir kek m***k,1
"Ngasih ulasan itu yg bener, katanya pakai threads ngeleg, ini lah itu lah, ini kok saya makek nya bagus\xb2 aja, padahal hp saya tipe kentang, bagus\xb2 aja ini saya make nya, gak ada yg ngeleg atau yg lainnya.",5
tak ada terjemakan bahasa. tak ada base ku pantau. mode gelap. tranding juga gada. tapi gapapa,3
ok,5
Masih blm bisa ini para Kek Ngeglich gitu pas si scrol,1
Nomor threads yang disembunyikan di bio Ig tidak bisa di kembalikan lgii,1
When I open threads the text is stacked/shaded,3
"Untuk pertama kalinya, threads mengalami down \U0001f602",5
Plagiat Twitter wkkwkwkw,5
terdapat glitch ketika menggunakan mode gelap.,1
Apk ny bagus banget,5
Good app,5
Not bad,3
"Bang tolong tambahin fitur translate aelah, ini biar gue paham kalo cokpop gue update, add translate feature please\U0001f62d",2
"aneh, padahal dah keinstal tapi tidak muncul di halaman layar, saya yakin ini bug aplikasinya, karena saat saya mencoba mengunduh aplikasi lain baik\xb2 saja tapi saat threads di instal tidak mau muncul di halaman layar. Bahkan saat dicoba untuk dibuka dari playstore pun tetap tidak bisa, tapi setelah saya hapus dan unduh lagi selama 3x baru bisa. Hadehh buang buang kuota internet",1
Too many bug,1
Nuub beban,1
Sejauh ini apk bagus banget Cuma kurang fitur translate aja,4
Eror. Masa baru buka udah tampilan eror.,1
tidak ada translate,3
Ayolah Threads kalo mau Nyaingi Twitter harus buat lebih bagus lagi dari Twitter agar pengguna lebih nyaman.,5
Gk suka baru buka langsung nge bugg,2
Bagus tpi lebih bagus lagi tolong adakan terjemahan kata nya,4
di gua bug bngttt cokkkkk \U0001f62d\U0001f62d\U0001f62d\U0001f62d\U0001f62d\U0001f62d,1
"akun aku hilang gara"" ngeuninstal threads, apk apa sih ini, yang nyiptain apk ini stress anjg, segitu nya bgt kah sampe harus ikut ngilangin akun, supaya ga ada yg ngeuninstal threads?, gitu cara nya?, stress sumpah ini apk ga guna, udah ngikut""in tweater, apa coba \U0001f92c",1
ngebug apk nya,1
Ini nih yg keren nih,5
"It's good, just add the post or comment translation feature",5
"dasar apk pembodohan, Ig saya ke hack gabisa masuk masuk. awas kalian",1
"Aplikasinya baguss, saya nyaman pakainya. Saya predikis aplikasi ini bakal jadi app yang rame sih kedepannya. Cuman minta ditambahin fitur-fiturnya dong. 1. EDIT THREAD (soalnya kalau ada salah di konten yg udah kita upload, itu harus hapus lagi dan ketik ulang. Repot; 2. PENGAPLIKASIAN TAGAR (Biar pengguna lebih mudah menjangkau konten kesukaan mereka, jadi pas di pencarian, jangan cuman akun-akun penggunanya aja yang muncul, tapi juga sama konten yg tagarnya terkait dengan yang kita cari)",4
"Gamenya susah, gimana mau namatinnya? gapernah dapet like share and koment",3
"Tolong tambahin fitur edit dong, misalnya yang kayak typo gitu trus bisa diedit, biar gak cape klo typo malah hapus\U0001f60atambahin terjemahan jg donggggggg\U0001f600\U0001faf6\U0001f3fb",4
Okee lahh good,5
"To much bug in this app, i have bug on the screen",1
TWITTER OR THREADS :),5
waktu menonaktifkan akun dan ingin menghidupkan kembali malah trus menerus terjadi kesalahan dan tidak bisa login lagi,1
"Aplikasinya bagus, bawaanya lebih positif dan bisa sharing ilmu juga. Saran saya tingkatkan kembali aplikasinya dan perbaiki bug yang terjadi. Terimakasih",5
Seru,5
"Tetap bagusan Twitter, Twitter segudang video hee",3
aku down ini karna HAECHAN down apk ini juga Wkwkw,5
dikit2 force close,1
banyak bug,1
"Hancur, klu seandainya bisa kirim SS, sy kirim deh kerusakannya. Semuanya menumpuk.",1
still lacking some features for android version such as option to chose images from different folders (unlike ios who's had at least save image option) COME ON! BE FAIR WITH ONE ANOTHER!,3
"Wah...bug nya parah banget sih... Untuk sekelas ""meta"" meskipun ini apk baru,harus nya bisa lebih di optimalkan lagi sebelum di rilis... Klw begini kan kesan pertama org org bkl jelek banget...",1
"Bug nya Parah banget beranda ngebayang parah udah dicoba hapus data login ulang tetap aja gitu, mungkin masih baru ya nanti kalo udah diperbaiki bugnya dikasih bintang 5",1
Sejauh ini bagus dan simpel tampilannya,5
elek bikin ig mental,1
"Bagus sih, bisa jadi pengganti twitter kalau bisa ditambahkan lagi fiturnya.",5
"Gak bisa upload foto, kadang bisa kadang nggak sih",4
Aplikasi pekok.... Mark Zuckerberg tolol pandenya jiplak Twitter \U0001f926... Gak Inovatif isi otak lu,1
"masi banyak bug yg harus diperbaiki,seperti layar menjadi mix saat di scroll",1
"Gacor nih apk bagus bgt ,jadi suka deh sama ni apk",5
Before release the apps to go public. first you have checked it. Im on first time using this and found my screens are glitch and any on. You dont believe or dont understand about my means? Message me On emails then i'll show it to you,1
"""Gua liat foto gk bisa close "" ,Hp lu kentang bego jangan maksa",5
Bug jir,1
Cobain dulu,4
Kenapa lencana nya kalo udah di hapus ga bisa di balikin lagi ?,3
"ukuran aplikasinya gede 70an mb, tapi fiturnya sedikit (bingung mau cari apaan disana) dan banyak bugnya",1
"saran untuk next update, beranda following sama beranda publik tolong dong di pisahkan. biar lebih enak aja ngeliat threads following sama publik kepisah",4
Bagus,5
Gk bisa di buka apk nya,2
Fresh saya suka,5
Ok,5
Gajelas bacaannya numpuk,1
\u261d\ufe0f,5
"Ketika di scroll semua content terulang seperti ketika anda berhasil memenangkan permainan solitaire pada windows xp mungkin mark ingin membuat efek motion blur atau apa saya tidak tahu, bug ini hilang jika saya membuka recent app saya dan menutupnya kembali namun bug ini akan tetap ada ketika saya menscroll halaman",2
Ok manntap,5
Baru mencoba,5
"Yeee bijiii, kok fitur posting feed langsung ke Instagram hilang? Mrak Jukerbrek gw jitak lama-lama pala lu dah",1
Apkny bagus cuma tambahin aj fitur terjemahan,5
Terdapat bug,1
UI nya bikin layar rusak + error,1
Aplikasi nya bagus cuma masih ada banyak bug tolong perbaiki lagi yah makasih,5
Bintang dua dulu.. Aplikasi uda bagus tp blom sempurna,2
"kecewa karena ada bug , saat saya mengscroll kebawah dan keatas, tampilan beranda,tulisan, teks teks, poto, dll... seperti tampilan error, jadi saat di scroll teks/poto nya seperti tidak mau bergerak",3
Bikin ih error ni apk,1
Wow,5
"Cepetan punya algoritma deh, ngeselin banget isinya Threads artis indo. JELEK!",4
Bug parah.... Gak tau lagi deh bilangnya,1
"Ini hp xiomi yang gk cocok sm aplikasinya, apa aplikasinya yg lg down ya, harus di kaji lagi masak di buka kelip kelip bagaikan bintang nan jauh disana",2
Semenjak ada apk ini saya jadi ada kegiatan untuk begadang.,5
