Content,Rating,Category Level,Category
unfair. this app applies privileges to accounts that already have a blue tick on Instagram.,1,-1,Negatif
"banyak minusnya plerrrrrrr, notif telat + error mlu ajgggg",1,-1,Negatif
"semenjak download threads, IG gue tambah eror cuyy. gapake ini aja ada bugnya, malah ditambahin. ckckck, perbaikin dulu bugnya baru bikin aplikasi baru",1,-1,Negatif
monyet loe threads. akunku kehack gara\xb2 download aplikasi enih. MOGA ELON BENERAN GUGAT LOE ANJINK. ak sangat amat gak rela. bintang \U0001f31f.,1,-1,Negatif
Coba dulu,2,-1,Negatif
Kok di scroll tulisannya membayang ya? Sedangkan instagram fb Google YT lancar2 aja. Tolong diperbaiki,2,-1,Negatif
"Lumayan mirip sama twitter dan menurut saya, saya lebih suka ini ketimbang twitter. Semoga di masa mendatang akan ada lagi fitur bagus yg di kembangkan oleh meta untuk Threads. Karena aplikasi ini punya potensi besar untuk bersaing dengan sosial media yg lain",5,1,Positif
Bug gak ngerti lagi saat scrolling Threads tiba-tiba semua tampilan huruf saling bertumpukan tidak karuan sangat parah,1,-1,Negatif
abis download ini malah gabisa buka ig,1,-1,Negatif
"Don't forget to provide a translation in Indonesian, and don't forget the photo saving feature to the gallery or video\U0001f60a",4,1,Positif
Terdapat bug setelah di instal yaitu tidak bisa di buka,3,0,Netral
"bagusss sihhh... cuma ya kan gini nih Kan saya abis login tuh dari trheads setelah itu saya ke profil ig kan trus ada kek ""@988053"" Gitu di bio ig, jadi saya memencet ""@977053"" dan tidak sengaja memencet mensenyapkan/menghilangkan, cara mengembalikan nya gimana guys yesel abis memencet itu \U0001f62d\U0001f64f\U0001f3fb",3,0,Netral
Bagus Saya Suka Sekali Aplikasi Threads ini,5,1,Positif
ok,1,-1,Negatif
"Bug nya banyak banget, ketika di swipe tulisannya numpuk\xb2 ga bisa baca tulisan sama sekali",1,-1,Negatif
Tolong adakan translate,4,1,Positif
Ngapus treads doang malah akun instagramnya d nonaktifkan slamanya\U0001f611,1,-1,Negatif
Masih ada bug nya.,3,0,Netral
Bug parah. Tampilan bayang2..,1,-1,Negatif
"Kukasi ki bintang 4 dulu kanda krn di beranda biar yg tdk di follow tampilki postingannya. Dan yg paling penting semoga bisaki filter yg posting konten\xb2 18+, jngn sampai kayak aplikasi burung biru di' hehe massukku kusuka tonji saya tapi tabe' sebelumnya kanda bukan apanya kah jan sampe banyak yg beralih kesini na nanti samaji yg di sajikan di aplikasi burung biru",4,1,Positif
buggg bgt plis,1,-1,Negatif
Ok,5,1,Positif
"Masih banyak bug,tapi gw yakin aplikasi ini bisa kaya Twitter sama Instagram",3,0,Netral
"Login threads malah logout ig, login ig malah logout threads. Benerin nih",2,-1,Negatif
Semoga Didelete kominfo,1,-1,Negatif
Apk rusakkk marai ig ku eror asuuu,1,-1,Negatif
Keren lebih bagus dari Twitternya,4,1,Positif
Mantap threads,5,1,Positif
Tambahkan fitur tranlsate,5,1,Positif
akunnn gwww ilanggg,1,-1,Negatif
"jelek bgt aplikasinya, ngebug bgt padahal baru download",1,-1,Negatif
good,5,1,Positif
butut anj,1,-1,Negatif
Masih bagusan Twitter ada bokepnya,1,-1,Negatif
Upload video tapi suara g muncul,1,-1,Negatif
Bagus apknya,5,1,Positif
tolong tambahkan fitur simpan foto dengan resolusi yang lumayan. jika ini ada di update selanjutnya reflek bintang 5,3,0,Netral
Baguss Banget \U0001f44d,5,1,Positif
Nothing special,1,-1,Negatif
Excuse me madam or sir I have a little problem with this application please sir or madam to handle the hide id threads feature I accidentally pressed the hide button I beg you how to restore it \U0001f62d,1,-1,Negatif
"gjls anying apknya, akun gua jdi ke logout sendiri gara' ni apk",1,-1,Negatif
Jelek,5,1,Positif
Bekerja keras .tidur . Nikmati,5,1,Positif
1. Lebih baik threads yg dimunculkan pada halaman beranda/home itu thread dari akun yg kita follow saja. 2. Jangan pernah menambahkan trending hashtag karena saya lihat yg di twitter itu isi dari hashtagnya kebanyakan sampah.,4,1,Positif
"BUG, halaman ketumpuk",1,-1,Negatif
Aplikasinya bagus tapi nggak ada fitur,5,1,Positif
aplikasi nya lumayan bagus tp tolong ditingkatkan yaa agar semua orang nyaman menggunakan nya semangat Developer,2,-1,Negatif
Yuk tingkat kah apliynya:))),5,1,Positif
bad experience a lot bug,1,-1,Negatif
buruk,1,-1,Negatif
"blm ada fitur translate, crop, trs save, kalau bisa cari cara agar kalau mau hps akun threads akun ig juga tdk ikut terhapus permanen, karna saya login menggunakan 2 akun ig mau hps salah satunya di akun threads tdk bisa \U0001f64f\U0001f3fb",2,-1,Negatif
"Why i can't post a photo in threads, i try for many times",3,0,Netral
"kenapa ya di android 9 ga support, bug ketika di buka, campur semua tulisa, tolong di perbaiki lagi",1,-1,Negatif
Bug tulisannya dobel gak bisa digunakan,1,-1,Negatif
"Aplikasi baru liris, masih ada banyak bug dan kendala server seperti buffering homepage yang terlalu lama padahal sudah clear data cache dan jaringan stabil, saat mau searching hanya muncul tampilan akun saja tidak ada postingan apapun selain akun orang, memang aplikasi ini mirip Twitter tapi fiturnya masih kurang drastis sebenarnya tidak masalah asalkan tidak ada batasan atau close server.",4,1,Positif
aplikasi mantap,5,1,Positif
simply works,5,1,Positif
"Saran, tidak usah buat aplikasi baru, cukup dengan instagram dan kembangkan lagi dengan fitur fitur terbaik... Tunjukan karya terbaik kamu sampai dunia terkagum kagum dengan kamu..",5,1,Positif
Ko g bisa buat login?,2,-1,Negatif
Weee kenapa semenjak make ini Instagram malah ngebug????? Tiba2 keluar gtu aj??,2,-1,Negatif
Lagi upload foto terus tiba tiba keluar sendiri gatau ke Napa bug Mulu udah di coba beberapa kali tetep sama gak bisa kirim foto itu,3,0,Netral
"bagus sih, cuma pas join threads ig jadi gabisa dibuka. tolong bgt ini mh ya, cepet benerin soalnya kesel bgt gabisa bisa buka ig",2,-1,Negatif
"Aplikasinya sangat membantu saya untuk mencari referensi berita\xb2 terkini,bagus bngt saya suka trimaksihh",5,1,Positif
ig gue jadi error njay,1,-1,Negatif
"Sesat anjir, gara-gara nih aplikasi Ig gw nge carsh Mulu",1,-1,Negatif
"I just downloaded this application and a bug occurred on my cellphone, when I was scrolling it and what happened was my screen was like a broken LCD even though it wasn't at all",1,-1,Negatif
Please instagram. please update. I accidentally deleted my threads number in my Instagram bio and i cant take it back. please change it so it can take it back again,1,-1,Negatif
"Kenapa aku harus beri bintang 1? Aku tarik kembali kata2 aku semula... THREADS PLAGIAT SAMA TWITTER \U0001f621\U0001f92c Sudah saya laporkan sebagai ga pantas karena sebagian besar mengalami kehilangan akun bahkan di suspend akun tanpa alasan, mesti ni gara2 apk Threads \U0001f44e\U0001f44e\U0001f44e lebih baiknya pake Twitter, asli ga pake suspend akun\U0001f44e",1,-1,Negatif
ini berbayarkah? kok unduh gak bisa trus,1,-1,Negatif
Kerja bagus,5,1,Positif
Good. Pasti kedepannya bakalan lebih baik dan lebih banyak fitur.,5,1,Positif
"DOWNLOAD GARA"" HAECHANKUU SAYANGGG <3",5,1,Positif
Bagussssss,5,1,Positif
Gw make karna Jaemin bikin akun\U0001f62d\U0001f62d\U0001f932\U0001f3fb,5,1,Positif
"Saya cuma mengkritik 1 hal, yaitu tolong diperbaiki lagi aplikasi ini, terutama bagian ""simpan"".. minimal bisa simpan foto postingan lah\U0001f64f\U0001f3fc\U0001f64f\U0001f3fc\U0001f64f\U0001f3fc",1,-1,Negatif
Tolonglah balasan komentar kito di hilang di profil atau sembunyikan privasi soalnya,4,1,Positif
error kenapa nihh tolng lahh susah kalii,1,-1,Negatif
That's great but can you provide a translate feature? And can you display the only followed and not mixed? Thank You.,4,1,Positif
Kerennn,5,1,Positif
Saingan dengan Twitter? Mana bisa. Threads hanya isi sampah cuitan centang biru. Saya tidak ingin sampah itu ada di timelineku.,1,-1,Negatif
hapusin limitnya nnti ak ksih bintang lima,2,-1,Negatif
Hari pertama pake apk ini jam 19:14,5,1,Positif
Lencana threadsnya buset kaga bisa ilang nyesel dah gua daftar:(,1,-1,Negatif
wkwkw mantap mark,5,1,Positif
"apk rusak ,",1,-1,Negatif
"to the developers of the Threads feature, please add a way to delete the account permanently and fix the missing features, thank you",3,0,Netral
Peniru twitternya,1,-1,Negatif
"Jika threads bisa menjadi twitter sebelum era elon musk, mungkin threads bisa melambung",3,0,Netral
\u25b6\ufe0e \u2022\u104a\u104a||\u104a|\u104b||||\u104b\u104a|\u104b|||\u104b|||\u104b\u104a|\u104b| 0:15 nice jgn lp fb \U0001f601,5,1,Positif
Mohon sertai translator untuk bisa mengerti bahsa dari rekan di negara lainnya,5,1,Positif
knp saya ga bisa login?pdhl jaringan saya bagus,1,-1,Negatif
Pertama kali mencoba,5,1,Positif
Baru aja mau download,3,0,Netral
Halo adik2,5,1,Positif
Halo min cara mengembalikan lencana ke gimana ya? Saya tidak sengaja menyembunyikan nya,5,1,Positif
good,5,1,Positif
So far so good! But it's better if there is a dark theme. Is there any? Sorry if so! And even better if Threads can have more than one account. That's all from me. Hope you guys will consider it. Thank You <3,4,1,Positif
Cacat...gagal di instal sdh berulang kali,1,-1,Negatif
Tweet itu basi semoga admin dengar gua move on tweet semoga thread kasih saya cuan \U0001f602\U0001f923\U0001f602\U0001f923 karna gua udah berhianat ke ke tweet \U0001f923\U0001f602\U0001f422\U0001f528\U0001f303,5,1,Positif
Lencana gak bisa ditampilkan kembali di Instagram setelah tidak sengaja menghapusnya. Tolong berikan fitur pemgembalian lencana di Instagram.,1,-1,Negatif
nyobq dulu,2,-1,Negatif
"Please add translations in posts such as Facebook or Instagram, so that it is easy to understand Fabrizio Romano's thread",1,-1,Negatif
Oke je,4,1,Positif
Bikin leg apk ini,1,-1,Negatif
kenapa sih mau upload foto di thereads ga bisa malah kembali aku kasi b2 dulu deh ananti klo udh bisa baru,2,-1,Negatif
Tak seramah twitter,1,-1,Negatif
\U0001f5ff,5,1,Positif
aplikasi yang sangat keren,5,1,Positif
tolong banned panji,1,-1,Negatif
Oks \U0001f970\U0001f44c\U0001f3fb,5,1,Positif
Hahah karna aku suka kpop makanya download ini,5,1,Positif
Knp jika mnghapus akun threads akun instagram juga ikut terhapus akun ??,2,-1,Negatif
suka tiba tiba keluar sendiri kalo mau posting foto \U0001f614\U0001f614\U0001f614,3,0,Netral
Gte,5,1,Positif
MANTAP,5,1,Positif
"Kenapa nomor threads saya nggak muncul di profil ig saya, hanya lambang threads saja tidak ada nomornya",2,-1,Negatif
"Buruk banget, punyaku error gajelaa",1,-1,Negatif
mantulll,5,1,Positif
Memang sudah tak terawat dan bebas dari jeratan hukum di berbagai tempat deui rebranding di dunia ini yang mana itu adalah engkau lebih baik kak bisa di download di sini adalah engkau,1,-1,Negatif
"Kenapa saat saya membuat threads hanya menampilkan logo threads saja di bawah nama akun, tidak ada angkanya.",2,-1,Negatif
"Bagus, cuma klo ada bahasa asing tidak bisa diterjemahkan. Tolong tambahkan fitur terjemahan nya! Terima kasih",3,0,Netral
Bad \U0001f44e I like elon,1,-1,Negatif
Aku ngak mau download threads nanti instagram aku kena blokir jadi nyesal gara gara aplikasi threads ini buat meresahkan \U0001f97a\U0001f62d\U0001f44e,1,-1,Negatif
Bagaimana cara menghapus akun threads tanpa menghapus akun instagram?? Aplikasi ini mengambil banyak bgt data pribadi saya. Saya gak terima,1,-1,Negatif
Uploud foto size besar langsung mental hha,1,-1,Negatif
"More Fiture, like translate and more, make it different than the other side, i will close that one.",3,0,Netral
"threads whats wrong? aku tidak merasa mengganti sandi ig ku, aku aman-aman aja masuk ke igk. tapi kenapa pas aku buka threads tidak bisa? dan bilang kalau ""pengguna akun telah mengganti sandi"" kalo gini mah maaf-maaf aja mau uninstall ajaa",2,-1,Negatif
"kereen app new ini ..bisa belajar dan tahu informasi ter trending ..,\U0001f603",5,1,Positif
"I dont know why instagram suspend my account, because I dont post adult content, pornography, or other bad thing content. My instagram sunspend too because this problem. Honestly, i used account with not my real name cause i thing its fine to have account like that. I hope we can enjoyed join with anon account like twitter cause it is a goodside for share about blablabla or just trashtalkin about my life. I realy enjoyed and a lot followers, so I hope it can help for.",1,-1,Negatif
"Ga ada bedanya sm ig, bahkan bagusan ig",1,-1,Negatif
macet macet jadi hp ku pasrah aplikasi,1,-1,Negatif
"Masih banyak bug, ketika buka aplikasi malah jadi error ketika discroll/ pencet icon gambar bertumpuk""",2,-1,Negatif
"Pertama kali log in langsung mengalami bug , tulisan tulisan tidak jelas , tampilan seperti layar handphone rusak , tolong cepat diperbaiki",1,-1,Negatif
Awalnya bisa post ke beranda instagram kenapa setelah sela waktu 1 hari tidak bisa?,2,-1,Negatif
babi main hack aja,1,-1,Negatif
Penak Twitter....,4,1,Positif
"Yuhuu baru instal, baru coba, langsung nge bug. Mau bikin postingan dg menambahkan foto, eh langsung keluar aplikasi. D perbaiki lagi yaaaa",1,-1,Negatif
Di buka malah glitch layarnya \U0001f643,1,-1,Negatif
Coba dulu.....semoga FYP account media sosialnya Dan semoga bisa buat promosi Konten + Ngonten,5,1,Positif
Em aplikasinya agak bug waktu mau post foto dan saya download aplikasinya hanya karena jaemin dan haechan semoga aplikasinya diperbaiki dengan benar ya,4,1,Positif
rusak threads gu gbisa dmaenin gjelas,2,-1,Negatif
please give threads a translation feature!!!!!!,4,1,Positif
lag gbs di scroll samsek,1,-1,Negatif
Baru coba,2,-1,Negatif
Pesat banget udah 50 juta pengunduh,3,0,Netral
Baguss banget,5,1,Positif
refresh timeline masih terlalu lama delay nya,3,0,Netral
Ok,5,1,Positif
Mark masih turu,1,-1,Negatif
"Tampilan nya rusak, gabisa dilihat. Tolong dibenerin!",3,0,Netral
"Aplikasinya sudah bagus cuma ada yang kurang saran saya sih berikan beberapa fitur yang lain seperti translate, dan untuk menyimpan gambar ataupun vidio yang paling penting sih translate nya aja min. -salah satu pengguna treads :)",3,0,Netral
Bagus bngt,5,1,Positif
Nice aplikasi,5,1,Positif
"Aplikasi nya sudah bagus, cuma disini tidak ada pinjaman tunainya.",1,-1,Negatif
"masih kurang fitur, semoga ke depannya jadi lebih baik",5,1,Positif
no language translate,4,1,Positif
masa hpus akun thread akun ig nya kehapus juga.,1,-1,Negatif
Aku instal apk ini tgl 11 Juli 2023,5,1,Positif
"Udah bagus, tolong tambah kan vitur terjemahan",3,0,Netral
Gak ngrti ..kyk twiteer .trs TK efek kyk GK ada y .GK phm sya,4,1,Positif
Please update selanjutnya ditambah fitur bisa menghasilkan uang seperti apk sebelah .,5,1,Positif
Bug.,1,-1,Negatif
\U0001f44d\U0001f44d\U0001f44d,4,1,Positif
Nda jelas,1,-1,Negatif
Sedang berpikir,5,1,Positif
Tidak bermutu,1,-1,Negatif
"warna logo seperti tiktok,dibuka warna logo loading seperti instagram, udah masuk kaya twitter, dan nama aplikasi huruf awal T jadi urutan aplikasi smartphon sebelahan sama tiktok.",4,1,Positif
\U0001f4af,5,1,Positif
Lizard man \U0001f60e\U0001f525\U0001f525,5,1,Positif
"Please buat lo pada yg mau make fitur baru gua saranin jangan , akun gua hampir ilang krn ni fitur , udh banyak korban juga jdi gua saranin jngb deh",1,-1,Negatif
"Perbaiki bug text yg bertumpukan saat di scroll, bug nya sangat parah, mengganggu. Terimakasih!!",1,-1,Negatif
"Pertama kali buka layar langsung bergetar, berkedip sampe tulisan sama foto ga bisa diliat ... \U0001f602\U0001f1ef\U0001f1f5\U0001f602",1,-1,Negatif
saingan twiter,5,1,Positif
"Kamu nanyaea, yah jelas",5,1,Positif
ga asik ga bisa nyimpen foto/video orang lain,4,1,Positif
"Ada sedikit ngebug saat membuat caption dan kalau bisa bikin algoritma cepat viral usernya, agar makin banyak usernya. Karena manusia ingin dikenal",4,1,Positif
"Banyak bug,, upload foto gak bisa, ngetik hilang sendiri, layar seperti blank gak bisa di scrooll",1,-1,Negatif
aplikasi burung udh gk sebagus yg dulu jadi coba yg ini aja,5,1,Positif
Kasih 3 dulu kalo bagus bintang 5,3,0,Netral
Kramat luar,5,1,Positif
Ahh Masih Enakan Twitter,1,-1,Negatif
"apk bagus bgt,klo bsa jangan sampai ad tmpt chat pribadi.biar jadi ciri khas dri apk itu sendiri.",5,1,Positif
"Sangat luar biasa aplikasi ini, saran saya dengan mendaftar akun Ig ke trands tidak perlu semua di riset \U0001f49f\U0001f49f\U0001f49f",5,1,Positif
Tambahin fitur translate,5,1,Positif
Aplikasi nya eror,1,-1,Negatif
Banyak bug cok,1,-1,Negatif
"Masih ada bug,ketika saya ingin melakukan utas dan menambahkan foto itu tiba tiba force close,tolong segera diperbaiki!!",2,-1,Negatif
Copy and paste,1,-1,Negatif
NEED TRANSLATE FITUR PLEASE!!,4,1,Positif
apk ny bagus,5,1,Positif
Baguss bangetttttt\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929\U0001f929,5,1,Positif
Aplikasi,1,-1,Negatif
"Need translate ok, punya teman dan fans jg dari luar negeri.",5,1,Positif
Cakep...,5,1,Positif
Mirip twit,5,1,Positif
mwuantepppp cokkkk,5,1,Positif
"Gw tunggu Lo Mark, Duel Sama Mas Elon",4,1,Positif
Bagus seperti Twitter,5,1,Positif
Bagus sih cuma bug nya aja,3,0,Netral
"pengalaman harii kedua setelah unduh threads, masih kurang handal untuk lampirkan foto atau vidio dengan file ukuran besar, belum dikompresi, jadinya gagal terunggah setelah beberapa kali mencoba, hapuslah akhirnya, karena cukup menganggu saat open threads berikutnya. Mungkin ini salah satu yang harus diperbaiki di aplikasi bin sofwarenya. sedangkan hal lainnya belum menemukan, jadi untuk saat awal cukuplah kasih 4 bintang",4,1,Positif
Toling adakan translate dong,3,0,Netral
"Tak kasih segini, tp harus diupdate biar tmbah keren ya min",5,1,Positif
Jelek! Nggak bisa kebuka! Ngebug lagi!,1,-1,Negatif
Mantab.,5,1,Positif
Kok video yg sy upload ga keluar suaranya ya?,3,0,Netral
"Mungkin ku kasih 4 dulu ya. Soalnya masih kurang fitur nya, aku ingin bisa buat akun lebih dari satu. Itu aja sih, moga cepet di update lah ya. Semoga apikasi ini sukses \U0001f4aa",4,1,Positif
Kenapa vidio suara nya tidak muncul,3,0,Netral
Download apll ini karena ikutan\xb2 aja.,3,0,Netral
"Fix the screen glitching bug i think, i'll be back with 5 starts after the bugs fixed",3,0,Netral
"kok eror? ngelag gitu, tolong diperbaiki",1,-1,Negatif
"Saya masih belum menemukan apa yang khas dari Threads? Saya menyarankan agar ada fitur trending, namun bukan fitur trending biasa. Fitur trending yang bisa tingkat nasional dan tingkat provinsi agar pengguna Threads semakin aktif membahas peristiwa terkini tidak hanya di tingkat nasional tapi juga tingkat provinsi. Selain itu font dan warna font, saya pikir hitamnya terlalu tebal jadi terlalu strong ketika dilihat, pemilihan font nya juga kurang tepat krn terlalu kaku.",4,1,Positif
Mending twitter,1,-1,Negatif
Twitter rungkad,5,1,Positif
Mantap,5,1,Positif
"This app UI on my phone its look like scrambled text, I barely cant use it and this day i've been hacked from turkey.",1,-1,Negatif
Awesome \U0001f606,5,1,Positif
Keep going ...,5,1,Positif
"Wah, terimakasih telah menciptakan aplikasi Threads! Fitur komunitas yang luar biasa.",5,1,Positif
ngikut aja,5,1,Positif
Aplikasi nya sangat bagus sekali terimakasih kepada pihak Instagram yang telah membuat aplikasi ini,5,1,Positif
crash bgt layarnya kek abis kebanting,1,-1,Negatif
KEREEEEEEENNN,5,1,Positif
so far so good,5,1,Positif
\U0001f5ff,3,0,Netral
"Aplikasi yang tidak cocok untuk didownload, banyak bug yang ada seperti tulisan dan gambar ovelapping dengan yang lain.",2,-1,Negatif
Good application,5,1,Positif
punyaku kok ngebug aplikasi nya..,1,-1,Negatif
Bagus cuma saya sarankan agar terdapat insight jangkauan seperti Twitter,5,1,Positif
"Tambahkan seperti di instagram, copas saja, contoh, terjemahan",5,1,Positif
"Perlu ada fitur insight, edit postingan & Story",1,-1,Negatif
"Sejauh ini cukup bagus. Untuk algoritma feeds mungkin bisa dipertahankan seperti ini tapi dengan mengurangi postingan rekomendasi, lebih utamakan postingan dari akun yang kita follow saja. Untuk yang lainnya mungkin hadirkan juga fitur terjemahan.",3,0,Netral
Gk ada fitur translet otomatis,2,-1,Negatif
Seruuuu,5,1,Positif
Tolong buat translate per bahasa ok Yg lain bagus semua,5,1,Positif
Mirip banget dengan kakaknya.,5,1,Positif
the screen suddenly freezes,3,0,Netral
Good luck,5,1,Positif
setiap log out sering error gabisa masuk lagi,1,-1,Negatif
"Coba tambahin 1 vitur lagi dah, vitur terjemahan",5,1,Positif
Eror,1,-1,Negatif
"Aplikasi baru rilis dan masih tahap pengembangan udah dibilang ""saya telah menemukan beberapa bug di aplikasi threads ini"" Ga semua aplikasi yang baru rilis udah beres semua tol. Pemograman ga semudah itung duit",5,1,Positif
We need translate,4,1,Positif
kenapa tiba tiba suka keluar sendiri,1,-1,Negatif
Keren,5,1,Positif
"Mon maap ngape gabisa upload video nih, kualitas nya terlalu tinggi kah?",1,-1,Negatif
tidak bisa batalkan upload video,3,0,Netral
Viva Elon Musk\U0001f525\U0001f525\U0001f525\U0001f525,1,-1,Negatif
Threadsnya bagus tapi datanya terlalu terbuka tolong buatkan tombol hapus akun di threads,1,-1,Negatif
Coba ada fitur berbagi postingan lama Instagram ke sini pasti enak tuh,3,0,Netral
Ngebug,1,-1,Negatif
Ok,5,1,Positif
keren banget yang pasti gratis,5,1,Positif
Elon??,5,1,Positif
Tolong tambah in trending topiknya dong,4,1,Positif
Apk rusak,2,-1,Negatif
Keren,5,1,Positif
Belum ada fitur translate,3,0,Netral
Aplikasi banyak bug syaa scrolll scroll postinganya jadi double tertimbun gitu,1,-1,Negatif
Lopyu,5,1,Positif
Bug parah banget. Mau upload photo ga bisa nge forceclose sendiri -.- sampe lelah nyoba lagi nya,2,-1,Negatif
"Mantab, saran saya dikasih terjemahan kak\U0001f609",4,1,Positif
"Banyak bug, trus apk nya ngga mulus masih banyak yg patah patah..",2,-1,Negatif
Beruntung bat bisa download sebelum 10m,5,1,Positif
Oh ini theards,5,1,Positif
Dukung Mark aj,5,1,Positif
"Aplikasi nya udah bagus,tapi kalau bisa ditambahin fitur translate Soalnya saya jadi bingung kalau bias saya posting pakai bahasa korea tapi saya kagak ngerti.",4,1,Positif
Ok semoga aplikasi ini gada bug,4,1,Positif
Kenapa ini kok postingan nya error semua,1,-1,Negatif
Aplikasinya kaya banyak bayangnya.. Di hapus terus Download lagi masi laya gitu,2,-1,Negatif
Bagus banget tp tidak ada translate nya jadi susah harus pakai manual,4,1,Positif
\U0001f44d\U0001f44d\U0001f44d,5,1,Positif
"3 bintang dulu soalnya minim fitur, masih jauh untuk bersaing dengan twitter....",3,0,Netral
"Promise i will update my rating when it's done. So, my problem is when i want to upload or post with photo suddenly force close, i restart my phone but it still. Hopefully you read and fix this quickly",2,-1,Negatif
Padahal apl ny mau aku apus tapi kok gak bisa ke hapus sih njir??!!,2,-1,Negatif
The best,5,1,Positif
"labih baik dari apk berlogo burung, dan lebih lancar waktu scroll, tanpa ada bug.",4,1,Positif
Industrial,1,-1,Negatif
Baru ngasih 3bintang Karana baru coba ni apps buatan Mark Zuckerberg,3,0,Netral
Can you give translate fiture because i need it,3,0,Netral
ya bagus lah,5,1,Positif
"Kenapa appnya gak bisa kebuka padahal awal"" udah bagus tpi pas hari ini setiap mau buka selalu kembali terus",3,0,Netral
"Tidak bisa ganti profil , maaf terjadi kesalahan, silahkan coba lagi , udah 100 x coba ttp gk bisa , oi deploper fix dong MTnya",1,-1,Negatif
akun ig gua ke hack gara2 masuk ke aplikasi inii!!!!,1,-1,Negatif
lencananya di Ig ngga bisa dikembalikan,3,0,Netral
"Percaya psti bisa....yang penting kita berusaha...bagus, baik",5,1,Positif
Semangat mark,5,1,Positif
"Gk sengaja hapus tag akun threads dari bio ig, cara ngembaliinnya gimana, bisa gak dibalikin",4,1,Positif
"Double tap to zoom in image or double tap to skip video please, just a simple things right?",2,-1,Negatif
Ok bagus,5,1,Positif
Ajib bang \U0001f44d\U0001f3fb,5,1,Positif
Good,5,1,Positif
Semoga ke depan ada fitur translate dan utk beranda (home) hanya menampilkan akun yang kita follow atau memiliki niche yang sama,5,1,Positif
"I prefer the application than the others, there are lots of interesting stories and things inside, so you don't have to hesitate to download it, thank you for making this application\U0001f49c\U0001f525",5,1,Positif
Minimal ada translate lahh,4,1,Positif
minimal bisa dipake di pc atau laptop laaaaahh,3,0,Netral
kurang bgs sih,1,-1,Negatif
Ok,5,1,Positif
Apk nya kurang aman privasi yg di ambil terlalu bnyk,2,-1,Negatif
"Aplikasi pembantu dari cabang pengelola instagram ini seperti aplikasi penyaing twitter, tapi ini bebas dalam bersuara pendapat \U0001f44d",5,1,Positif
Aplikasinya Sudah Bagus Tapi Tolong Bug Yang Ada Di Aplikasinya Di Perbaiki,4,1,Positif
"you have to update this again, provide subtitles too, and make it easier so we can save uploaded photos and videos",4,1,Positif
"Saran saya kalau daftar akun Threads jangan dari akun instagram, Pisahkan aja pendaftaran akun Threads dari akun instagram biar lebih mantap..",5,1,Positif
Kok saya gak bisa instal ya?udah 3 kali coba gak bisa???,1,-1,Negatif
Game nya lumayan,5,1,Positif
"Aplikasi ini butuh translate sih, sama aplikasi nya gak sebebas Twitter",3,0,Netral
Good,5,1,Positif
"ini bener ga sii kalo hapus akun ,akun ig nya ikut ke hapus?,takuttt",2,-1,Negatif
Please add language translation,5,1,Positif
Isinya profil centang biru...tapi giliran kita yang minta dipersulit payah META!!,1,-1,Negatif
Bagus siih tapi tolong ya buat threads bhasanya tolong di transletein soalnya ga ngerti bahasa lain kayak bahasa china di translete bahasa indo,4,1,Positif
Cara hapus acc nya gimana,1,-1,Negatif
Ok,5,1,Positif
Bingung gmn caranya mentautkan id Threads di bio Instagram,1,-1,Negatif
"Ngga bisa baca, tulisan bertumpuk ...",1,-1,Negatif
Error,1,-1,Negatif
( impor tautan dari instagram ) tidak bekerja,4,1,Positif
game ya gak bisa mabar,1,-1,Negatif
Beranda isinya postingan orang yang tidak dikenal semua.,1,-1,Negatif
"Instagram jadi banyak opsi pengaturan, Theme chat hilang, tdk bisa dipakai.",1,-1,Negatif
algoritmanya aneh,1,-1,Negatif
Kenapa akun saya login Instagram dibanned??,1,-1,Negatif
"aplikasinya bagus, cuman sayang banget masih sering ngebug",4,1,Positif
Aplikasi nya sih lumayan bagus dan sebagian mem nct dream ada yang masuk cm nggak ada daftar mengikuti harap di perbaiki lagi\U0001f64f,4,1,Positif
"Tolong adain fitur translate sama nyimpen foto atau vidio, thank uuu\U0001f64c",5,1,Positif
tambahin fitur translate donggg nnti ku kasi 5 bintangg,4,1,Positif
Kapasitas utas tex copo amat.. buat bagi bagi ide hahah,1,-1,Negatif
Good,5,1,Positif
"keren sih, tpi ada kendala sedikit jdi tolong di perbaiki lagi ya, terimakasih.",5,1,Positif
Ikut meramaikan,1,-1,Negatif
"Please hide threads of people I don't follow, it's very annoying",1,-1,Negatif
Bikin Ig gw ke hack,1,-1,Negatif
"Kekurangannya adalah tidak ada fitur translate, harusnya adaa dan wajib adaa.",4,1,Positif
"Mohon ada angkanya saat user membuat threads baru yang ditampilkan di profil user seperti angka post di instagram, selain itu tambahkan fitur DM ya",4,1,Positif
Jelek,1,-1,Negatif
"I hope threads will had hastag, trending topic, and more importan we need website version",4,1,Positif
Tolong tambahin fitur translate dong.. Biar bisa tau cowok kpop ku posting tulisan yg artinya apaa\U0001f62d\U0001f62d,4,1,Positif
Bintang 3 dulu karena Bugnya masih banyak banget \U0001f614,3,0,Netral
